,newsId,title,summary,link
0,6336787,AI需求爆發帶動半導體創新高　SIA：2026年全球晶片銷售上看1兆美元,"在人工智慧（AI）需求強勁推升下，全球半導體產業 2025 年營收達 7,917 億美元、年增 25.6%。SIA 預估 2026 年全球晶片銷售可望突破 1 兆美元，AI 加速器、HBM 記憶體與亞太供應鏈成主要成長動",https://m.cnyes.com/news/id/6336787
1,6336802,川普調整美國軍售政策！國防支出、戰略性高國家優先拿武器,美國總統川普簽署「美國優先軍售戰略」行政命令，重新調整美國武器銷售優先順序，未來將優先供應國防支出較高、具區域戰略重要性的盟友，加速武器交付並強化美國國防產能。,https://m.cnyes.com/news/id/6336802
2,6336779,美國提議烏克蘭、俄羅斯6月前完成談判！澤倫斯基：盼今夏結束烏俄戰爭,烏克蘭總統澤倫斯基表示，美國正推動在 6 月前完成所有談判並簽署文件，目標於今年夏天結束烏俄戰爭。新一輪和平談判最快一週內展開，但領土與札波羅熱核電廠等核心議題仍待突破。,https://m.cnyes.com/news/id/6336779
3,6336507,川普簽令擴大阿根廷牛肉進口、平穩物價 專家：零售端價格影響有限,,https://m.cnyes.com/news/id/6336507
4,6336678,中國央行聯合八部門嚴管虛擬貨幣與RWA代幣化！明禁境外發行人民幣穩定幣,中國人民銀行聯合八大主管機關發布最新監管通知，全面加強虛擬貨幣與現實世界資產代幣化（RWA）風險管控，明確禁止境外發行掛鉤人民幣的穩定幣，並嚴管跨境代幣化金融活動。,https://m.cnyes.com/news/id/6336678
5,6336676,為什麼亞洲無法扭轉生育率下降？新加坡生育率跌破警戒線、補助無效,新加坡多年補助、育嬰假與稅務優惠仍難挽救低迷生育率，人口快速老化引發警訊。《彭博》指出，南韓、日本與中國同樣陷入人口負成長，低生育率已成難以逆轉的長期趨勢。,https://m.cnyes.com/news/id/6336676
6,6336714,加拿大擬攜手中國車企設立合資電動車廠！降低對美依賴、布局全球市場,加拿大工業部長喬利表示，加拿大正推動與中國車企合作，在加國設立合資電動車製造與組裝廠，吸引比亞迪、奇瑞等投資，盼降低對美國市場依賴，強化本土汽車產業並拓展全球市場。,https://m.cnyes.com/news/id/6336714
7,6336780,大同董事長張榮華宣布 成立全球營運總部與創新研究院接軌AI時代,大同 (2371-TW) 今 (7) 日舉辦尾牙，為張榮華接任董事長後首度主持，於致詞時宣布，將於農曆年後成立全球營運總部以及創新研究院，接軌 AI 新時代。他並指出，過去媒體工作聚焦收視率與點閱率，現在轉為電力與算力。 ,https://m.cnyes.com/news/id/6336780
8,6336677,AI用電、太空太陽能成新主線？馬斯克言論點火中國A股,特斯拉執行長馬斯克多次提及「太空太陽能」與 AI 用電需求，意外成為撩動 A 股中國太陽能板塊的關鍵推手。在產業基本面尚未反轉之際，相關言論引發太陽能股集體大漲，也讓市場重新審視中國太陽能產業鏈的長期價值與技術競爭力。,https://m.cnyes.com/news/id/6336677
9,6336715,金價劇烈回檔仍不手軟！中國央行連15個月增持黃金、全球央行買盤續撐金市,即使金價在創下歷史新高後出現劇烈拋售，中國央行仍持續增持黃金，連續 15 個月擴大黃金儲備。世界黃金協會指出，2025 年全球央行購金量逾 860 公噸，官方需求持續支撐金市長期走勢。,https://m.cnyes.com/news/id/6336715
10,6336494,馬斯克嘆錢買不到快樂 研究顯示全球首富說對了？,全球富豪馬斯克想讓大家知道，錢並沒有讓他變得快樂。據《Business Insider》報導，馬斯克周四 (5 日) 在 X 平台發文稱，「說『金錢買不到快樂』的那個人，真的很懂這件事，」並附上一個難過的表情符號。,https://m.cnyes.com/news/id/6336494
11,6336674,美國再升級對中國的晶片封鎖？英特爾、AMD處理器出貨縮水拉警報,美國對中國半導體管制持續升級，Intel Xeon 與 AMD EPYC 伺服器 CPU 對中供應明顯收緊，交期拉長、價格大漲，迫使阿里雲、中國移動加速轉向華為鯤鵬、海光、兆芯等國產 CPU，中國伺服器市場結構恐全面改寫,https://m.cnyes.com/news/id/6336674
12,6336680,誤發400億美元比特幣搞烏龍！南韓交易所出面回應,南韓加密貨幣交易所 Bithumb 因促銷作業失誤，誤將高達 62 萬枚、價值逾 400 億美元的比特幣發送給用戶，導致比特幣價格一度重挫 17%。交易所已追回 99.7% 資產，並緊急限制受影響帳戶交易與提領。,https://m.cnyes.com/news/id/6336680
13,6336679,川普擬於2月19日召開「和平委員會」！首場會議 聚焦加薩停火,白宮規劃於 2 月 19 日舉行川普主導的「和平委員會」首次領袖會議，聚焦加薩停火、重建與國際穩定機制。專家質疑該機制可能削弱聯合國角色，人權爭議持續升溫。,https://m.cnyes.com/news/id/6336679
14,6336447,白銀波動率已超100% 底部究竟在哪裡？,《CNBC》報導，白銀本週暴跌又急彈，走勢劇烈震盪引發市場熱議。瑞銀 (UBS) 策略師指出，近期白銀非基本面突然惡化，更像是整體市場避險情緒升溫所引發的「風險資產拋售」。,https://m.cnyes.com/news/id/6336447
15,6336704,道瓊飆破5萬點大關！川普發文：提前三年達標 任期結束衝上10萬點,美股周五（6 日）強勁反彈，道瓊指數突破 5 萬點整數關口，創下去年 5 月以來最大單日漲幅。美國總統川普將這一里程碑歸功於關稅政策，並預測道瓊指數將在任期結束前衝上 10 萬點。,https://m.cnyes.com/news/id/6336704
16,6336649,美國與印度達成臨時貿易協議框架！川普、莫迪推動雙邊貿易談判加速,美國白宮宣布，美國與印度已就互惠互利的臨時貿易協議框架達成共識，印度將下調美國工業品與農產品關稅，美方則對部分印度商品徵收 18% 對等關稅，雙邊貿易協定談判持續推進。,https://m.cnyes.com/news/id/6336649
17,6336625,加拿大與法國在格陵蘭設領事館 力挺丹麥,據《衛報》報導，加拿大與法國周五 (6 日) 在格陵蘭首府設立外交領事館，此舉被視為在美國試圖取得對這塊丹麥半自治領土控制權之際，表態支持其北約盟友，以及這座北極島嶼。,https://m.cnyes.com/news/id/6336625
18,6336675,北京版《大賣空》出現！邊錫明玩轉金銀銅大賺40億美、白銀空單超15億美,銀價衝上 120 美元後急崩 40%，外媒封中財期貨實控人邊錫明為「北京版大賣空」。從做空白銀、做多黃金與銅，到撼動全球大宗商品定價權，這場逆勢操作為何引爆市場爭議？,https://m.cnyes.com/news/id/6336675
19,6336654,"9小時1,000萬單！阿里巴巴千問免單潮把茶飲店「逼到停接上門客」",阿里巴巴旗下千問 APP 周五（6 日）正式開啟「春節 30 億大免單」活動，首輪以奶茶無門檻免單為核心福利，迅速在消費市場掀起熱潮。,https://m.cnyes.com/news/id/6336654
20,6336448,亞馬遜2000億美元嚇壞市場 BMO：投資人根本「誤讀」,《Investing》報導，BMO Capital 分析師 Brian Pitz 週五 (6 日) 發布報告表示，亞馬遜第四季在雲端、廣告與零售業務全面展現強勁成長動能，但市場卻將公司高額資本支出 (CapEx) 視為負面因素,https://m.cnyes.com/news/id/6336448
21,6336622,美國願意付錢了！美駐聯合國大使：將於數週內支付會費欠款,美國駐聯合國大使瓦爾茲表示，美國將在數週內支付聯合國首筆會費欠款，以因應數十億美元積欠危機，同時要求聯合國持續推動 UN80 改革。聯合國警告資金恐於 7 月告罄。,https://m.cnyes.com/news/id/6336622
22,6336450,比特幣是數位黃金還是愚人金？Vanguard經濟學家觀點,Vanguard 全球首席經濟學家 Joe Davis 週五 (6 日) 撰文指出，儘管他看好區塊鏈技術的長期應用，但對比特幣作為貨幣與投資工具的前景抱持高度保留態度，甚至認為其價格存在「相當高的機率」最終走向歸零。,https://m.cnyes.com/news/id/6336450
23,6336632,傳SpaceX延後火星計畫 重心轉向2027年登月任務,《華爾街日報》周五 (6 日) 引述知情人士報導，馬斯克 (Elon Musk) 旗下航太公司 SpaceX 已向投資人表示，將優先推動登月計畫，火星任務則改在較晚時間嘗試。,https://m.cnyes.com/news/id/6336632
24,6336623,美股拋售後強彈！道瓊首破5萬點創新高  科技股、比特幣齊漲,"在科技與 AI 類股連日重挫後，美股週五強勢反彈，道瓊工業指數首度站上 50,000 點創歷史新高，那指、標普同步走揚，科技股與比特幣出現明顯逢低買盤。",https://m.cnyes.com/news/id/6336623
25,6336639,美國加密「銀行化」大幕拉開：五巨頭牌照獲批 撼動兆美元結算權,美國貨幣監理署（OCC）手中遞出的五張牌照，正在將這個全球最大的金融體系與最前沿的數位資產世界徹底焊接在一起。,https://m.cnyes.com/news/id/6336639
26,6336640,〈熱門股〉穎崴元月營收年增32% 股價單周再飆15%穩居股后,測試座大廠穎崴 (6515-TW) 本周公布 1 月營收，達 8.86 億元，改寫單月第三高紀錄，本周股價也提前表態，單周大漲 15.49%，穩居第二高價股寶座。,https://m.cnyes.com/news/id/6336640
27,6336655,Spotify開賣實體書 再推 Page Match功能 打造「紙電聽」生態系 股價連漲兩日,數位串流龍頭 Spotify 正式跨足實體出版領域，宣布與 Bookshop.org 合作在美英兩國開賣紙本書，並推出「Page Match」功能，可精準同步紙本與有聲書進度，打造無縫銜接的「紙電聽」全方位閱讀生態系。,https://m.cnyes.com/news/id/6336655
28,6336651,〈熱門股〉聚隆布局軍用織品獲肯定 登漲停站回所有均線創逾3個月高,〈熱門股〉聚隆布局軍用織品獲肯定 登漲停站回所有均線創逾 3 個月高,https://m.cnyes.com/news/id/6336651
